"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","",
"Africa Eastern and Southern","AFE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","6170422.2","6168162.2","6173452.2","6170802.2","6168292.2","6172092.2","6174062.2","6178902.2","6186282.2","6196872.2","6212912.2","6219282.2","6220302.2","6222242.2","6227082.2","6230302.2","6232202.2","6243972.2","6240372.2","6239652.2","6251452.2","6253012.2","6257792.2","6258302.2","6300432.2","6338572.2","6362592.2","6398772.2","6429932.2","6422792.1","6437086.27","6464640.44","6324814.61","6353558.78","6380432.95","6402907.12","6425601.39","6446225.56","6477639.73","6500933.9","6521424.37","6541506.84","6589093.31","6620169.58","6646197.25","6675292.72","6699446.99","6723686.56","6763004.83","6794743.8","6824989.9","6441140.365","6461235.65","6483468.675","6498087.9","6517235.025","6538552.75","6556857.12","6560796.62","6568777.12","",
"Afghanistan","AFG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","377000","377600","378100","378730","378750","379130","379790","379800","379960","380060","380360","380460","380480","380480","380480","380480","380500","380500","380490","380490","380530","380540","380540","380540","380540","380540","380450","380400","380400","380400","380300","380300","379340","378130","377530","377520","377900","378670","377530","377530","377530","377530","379100","379110","379100","379100","379100","379100","379100","379110","379100","379100","379100","379100","379100","379100","379100","380100","380100","383560","",
"Africa Western and Central","AFW","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2980464.1","2990979","3014148.1","3025739.7","3049810.3","3048154","3045507.7","3054558.5","3110989.3","3074023.7","3059294.6","3017509","3068959","3022499","3018319","3024829","2982019","2971159","2969669","3000769","2966799","2984879","2996539","3039479","3068689","3127829","3130249","3147209","3153819","3177529","3197588.62","3216582.84","3236905.31","3264772.58","3282404.3","3302746.02","3322667.74","3322476.06","3341207.43","3349638.8","3379264.38","3387460.36","3411856.64","3406127.62","3467992.2","3467258.18","3480553.96","3504651.44","3515615.22","3531402.7","3537430.1","3552415.2","3572750.1","3574968.5","3577363.4","3586105.221","3589797","3591824.6","3593420.6","3595031","",
"Angola","AGO","Agricultural land (sq. km)","AG.LND.AGRI.K2","","451772.2","452072.2","452272.2","452572.2","452772.2","453072.2","453372.2","453672.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","454072.2","455626.37","457180.54","458734.71","460288.88","461843.05","463397.22","464951.39","466505.56","468059.73","469613.9","475164.51","480715.12","486265.73","491816.34","497366.95","502917.56","508468.17","514018.78","519569.39","525120","530670.62","536221.24","541771.86","547322.48","552873.1","558423.8","563974.3","569524.9","569524.9","569524.9","",
"Albania","ALB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","12320","12320","12330","12300","12370","12400","12440","12400","12350","12300","12000","11740","11460","11220","10800","10750","11090","11140","11170","11180","11160","11140","11100","11130","11120","11110","11110","11170","11100","11210","11270","11270","11260","11260","11270","11310","11350","11390","11450","11440","11390","11400","11210","11220","10770","11200","11190","11810","12013","12013","12010","12013","11873","11742.9","11743","11817","11742.81","11740.81","11740","11655.55","",
"Andorra","AND","Agricultural land (sq. km)","AG.LND.AGRI.K2","","260","260","260","260","260","260","260","260","260","260","250","250","240","240","240","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","230","227.5","228.5","228.6","228.1","218","217.8","207.7","207.6","207.7","197.7","197.7","187.6","188.1","188","188.1","188.2","188.2","188.3","188","187.2","",
"Arab World","ARB","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4216990","4217160","4220480","4221970","4225300","4226380","4233570","4237700","4245440","4254160","4272140","4287570","4287130","4294480","4291610","4301170","4304200","4310200","4311890","4322830","4281366","4284893.4","4291487.4","4347773.6","4415818","4495358","4571100","4653310","4722838","4778872","4785734","4807689.8","4913161.8","5002776.6","5088830","5169974.6","5239499.2","5324556.2","5396525","5396622","5401351","5413643","5438038","5445302","5458841","5461424.5","5467614","5459316","5459535.6","5465365","5467053","4779721.2","4786024.35","4785555.5","4790277.771","4798429.254","4804428.859","4802538.011","4794529.809","4802615.039","",
"United Arab Emirates","ARE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","2080","2080","2080","2080","2090","2100","2100","2100","2100","2120","2120","2120","2130","2140","2150","2160","2170","2180","2190","2230","2270","2270","2320","2320","2350","2380","2380","2390","2390","2850","3100","3390","3550","3720","3830","3870","3950","3980","5160","5470","5620","5660","5540","5540","5570","5386","5326","5396","3879","3923","3885","3767","3794","3825","3828","3838","3838","3817.5","3904","3898","",
"Argentina","ARG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","1378290","1364340","1348750","1332970","1317800","1309480","1297030","1292350","1273820","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273830","1273840","1273850","1273840","1273840","1273840","1273840","1273800","1274700","1275650","1276600","1277550","1278500","1279480","1280450","1281420","1282350","1283300","1284120","1285100","1286060","1287100","1291033","1294966","1299209","1301389","1299684","1270469","1243284","1262679","1253184","1247419","1229374","1200129","1170884","1141639","1112394","1083817.597","1083817.597","1083817.597","",
"Armenia","ARM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11700","11810","12000","12440","13060","13320","13280","13230","13230","13280","13910","14440","15050","16050","17564","17519","17488","17463","17350","16981","16830","16830","16807","16767","16768","16761","16773","16770","16760","",
"American Samoa","ASM","Agricultural land (sq. km)","AG.LND.AGRI.K2","","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","31.7","32.7","33.7","36.9","40.2","43.4","46.6","49.9","53.5","60.2","59.7","59.2","58.7","58.04","57","56","54.9","53.9","53","51.7","50.4","49.1","47.8","46.5","45.2","43.9","42.6","41.3","40.1","40.1","40.1","",
"Antigua and Barbuda","ATG","Agricultural land (sq. km)","AG.LND.AGRI.K2","","100","90","100","90","110","110","100","100","110","110","110","70","70","70","70","70","70","70","70","70","70","70","70","80","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","90","",
"Australia","AUS","Agricultural land (sq. km)","AG.LND.AGRI.K2","","4744844.445","4765929.315","4793695.782","4819038.096","4862591.91","4870285.257","4895805.639","5135695.611","5108880.189","4934324.985","4995361.667","4998150","4978970","5003570","4995470","5007420","4915100","4961000","4932380","4956380","4955650","4907720","4837890","4865580","4867910","4685410","4710200","4720520","4671040","4644370","4627820","4660040","4600970","4691430","4633880","4652300","4622330","4638810","4536930","4554690","4557000","4470000","4395000","3949060","4102300","4093020","3983555","3892880","3842570","3763720","3961210","3870760","3717750","3744230","3481190","3426020","3718370","3588950","3624770","3557750","",
"Austria","AUT","Agricultural land (sq. km)","AG.LND.AGRI.K2","","35554","35310","34898","34765","34642","34060","33737","33593","33511","33358","33209","33071","32222","32073","31895","31835","31776","31808","31429","31410","31554","31427","30259","30332","30375","30268","30280","30483","30506","30239","30369","30130","29990","29941","29811","29733","29646","29599","29552","29402","29161","29022","28852.3","28674","28568","28433","28301","28094","27950","27792","27573","27352","27164","27142","27184.5","26701.7","26546.2","26528.3","26512.1","26467.6","",
"Azerbaijan","AZE","Agricultural land (sq. km)","AG.LND.AGRI.K2","","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44462","44566","44860","44891","45262","45887","46821","46924","47404","47456","47449","47546","47549","47586","47560","47565","47567","47573","47668","47687","47683","47698","47697","47698","47730","47775","47795","47797","47801","",
"Burundi","BDI","Agricultural land (sq. km)","AG.LND.AGRI.K2","","15750","15900","16040","16050","16240","16210","16660","16760","18970","18800","18990","19060","20000","20300","20600","20950","21430","21200","21000","20880","20750","20600","20600","20600","20600","20820","20920","21050","21050","21100","21100","21200","21230","20730","20370","19930","19520","19130","18870","18670","18510","18340","18330","18480","18190","18220","18250","18280","18310","18330","18830","19330","20330","20330","20330","20330","20330","20330","20330","20330","",
"Belgium","BEL","Agricultural land (sq. km)","AG.LND.AGRI.K2","","18110","18160","17720","17610","17580","17550","17580","17520","17630","17630","17560","17480","17630","18010","17910","17810","17680","17760","16890","14710","14600","15310","15280","15240","15160","15100","15010","14960","14660","14430","14230","14710","14830","14920","14950","15010","15100","15180","15210","13896","13868","13891","13922","13913","13830","13800","13669","13653","13636","13557","13357","13320","13365","13313","13280","13508","13270","13540","13564.226","13646.093","",
"Benin","BEN","Agricultural land (sq. km)","AG.LND.AGRI.K2","","14420","14620","14820","15020","15220","15520","15920","16220","17070","17270","17770","18070","18270","18570","18970","19270","19570","19770","19970","20270","20570","20900","21000","21100","21300","21900","22000","22100","22200","22700","22800","22950","23200","24000","25200","27100","28900","30500","31100","31950","32650","33650","34670","34670","34840","33400","33500","35500","36500","36500","36500","37500","39500","39500","39500","39500","39500","39500","39500","39500","",
"Burkina Faso","BFA","Agricultural land (sq. km)","AG.LND.AGRI.K2","","81390","81490","81590","81690","81790","81900","82000","82100","82220","82360","82200","83020","83730","84530","85360","85850","86350","86850","87350","87850","88350","88850","89350","89850","90350","90850","91400","95640","96000","95750","95500","95250","95000","94310","94500","95500","98500","99700","99700","97700","105700","107700","111700","106700","109700","107940","110180","121425","118430","121430","118430","121430","123430","121430","121430","121430","121430","121430","121430","121430","",
