"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","260.357","348.365","0","216.353","440.04","300.694","333.697","399.703","476.71","300.694","513.38","300.694","385.035","187.017","304.361","396.036","616.056","931.418","1191.775","1202.776","392.369","440.04","480.377","403.37","388.702","363.033","352.032","337.364","322.696","308.028","282.359","264.024","242.022","223.687","209.019","546.383","465.709","227.354","330.03","330.03","308.028","297.027","271.358","271.358","308.028","308.028","297.027","271.358","282.359","319.029","","","","","",
"Africa Western and Central","AFW","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","101.650143517746","159.735939813601","275.907532405311","474.367336416149","503.410234564077","435.643472218913","222.662219134111","417.491660876458","848.899710448798","1117.94989190251","1925.10043626367","2356.50848583601","1414.832850748","1674.60543973779","9179.83990354863","6459.1924104172","3299.90671765871","3295.21935016204","12777.18956003","12885.1525871721","5884.18839924027","5147.49176552359","7015.04119367162","8333.58739796709","8873.20595132644","9703.74928997519","10401.5575159435","9839.56431382137","11937.6722684106","12649.5303244319","13946.7979659972","13679.8511949892","13567.4525545647","14676.799513354","15981.0944732694","16709.8286679552","18390.0947728996","20373.5679903858","18629.0134529078","19803.6632882038","29309.2521509132","31501.6265356313","33148.023515661","33947.9438992744","33389.2693456396","33343.7911432124","29937.0603432115","33958.1481005203","44380.7414447472","44868.2149149585","44926.0507504073","50375.012675905","50589.8314932863","49110.8865582384","","","","","",
"Angola","AGO","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","0","0","0","84.341","84.341","110.01","124.678","132.012","124.678","110.01","135.679","135.679","135.679","146.68","172.349","172.349","198.018","220.02","220.02","245.689","297.027","300.694","319.029","1012.092","1085.432","1067.097","1048.762","971.755","1048.762","1048.762","1067.097","1085.432","1048.762","1085.432","990.09","1158.772","1217.444","1441.131","1250.447","1305.452","1595.145","1272.449","1290.784","1371.458","1404.461","1422.796","766.403","579.386","1441.131","1496.136","","","","","",
"Albania","ALB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","84.341","84.341","84.341","84.341","84.341","84.341","102.676","128.345","146.68","168.682","187.017","242.022","278.692","366.7","429.039","553.717","671.061","700.397","678.395","707.731","773.737","806.74","865.412","975.422","1045.095","971.755","1052.429","451.041","355.699","447.374","465.709","275.025","198.018","157.681","99.009","51.338","44.004","36.67","33.003","29.336","22.002","14.668","25.669","25.669","33.003","22.002","22.002","33.003","14.668","18.335","25.669","29.336","29.336","33.003","58.672","62.339","161.348","","","","","",
"Andorra","AND","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","",
"Arab World","ARB","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","","","","","","","","","","","","11588.9727845895","17346.0499884868","21579.1949913524","20957.0211211638","26399.0735806618","29175.2291406807","27312.232581095","53434.2441824588","53229.1594593311","100294.168655598","107398.613026587","72658.0348333716","76101.9103726857","129052.464170409","140885.465742569","170529.882042216","186735.444692382","195588.913494573","210424.664975169","242553.315090815","264251.140571399","275882.844984561","307523.091120065","324709.717182185","297650.251947179","318188.386060548","313248.100836214","332170.398311265","334431.796477334","352016.583242197","346651.077849884","387085.650186765","404167.904025836","439812.95101612","497318.1802784","514288.330618639","524350.586048171","572667.19404422","580866.212010427","627755.14718597","672082.408866753","713825.36221948","712110.215885164","741294.744163885","810116.922299382","833572.707303802","","","","","",
"United Arab Emirates","ARE","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","0","0","0","0","0","0","0","872.746","1151.438","1133.103","440.04","1107.434","1309.119","1631.815","1796.83","1521.805","1686.82","1114.768","1279.783","7176.319","8782.465","11158.681","11686.729","10689.305","14745.007","18423.008","22137.679","25144.619","25580.992","31085.159","30725.793","36827.681","34029.76","35628.572","41301.421","44909.749","54282.601","53200.836","55951.086","57025.517","60380.822","61979.634","69584.992","72272.903","77139.012","78290.45","82628.511","91370.639","107890.474","113563.323","116962.632","130277.509","132716.064","136522.41","133453.131","134267.205","135022.607","","","","","",
"Argentina","ARG","CO2 emissions from gaseous fuel consumption (kt)","EN.ATM.CO2E.GF.KT","2365.215","4033.7","5111.798","5834.197","6472.255","7253.326","7854.714","8214.08","9149.165","9112.495","10289.602","11030.336","12478.801","14198.624","14935.691","15735.097","16479.498","16919.538","16439.161","18030.639","19581.78","20502.197","23267.115","26285.056","27322.817","28833.621","30989.817","36728.672","42265.842","44645.725","43248.598","47322.635","48342.061","40839.379","42713.216","53237.506","57590.235","61554.262","61664.272","67674.485","69493.317","64861.896","62669.03","69126.617","82980.543","82034.457","83937.63","87248.931","90193.532","88066.672","86999.575","92661.423","95459.344","90835.257","96691.456","98359.941","102268.963","","","","","",
