"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","320589.996671304","321170.003211126","326880.001699552","330319.996809587","339339.997624978","347470.001196489","351490.002086386","359480.005862191","377549.99470897","380660.001637414","380559.997247532","382970.000686124","403830.003740266","416979.997346178","425989.999363199","443059.997210279","442300.001824275","468919.998476282","486810.001039878","487679.996335879","503890.006164089","508730.002934113","494579.996177927","496859.996045008","501330.001080409","509910.000765696","515159.996608272","518240.004519001","519999.998191371","525299.997815862","","",
"Afghanistan","AFG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6739.99977111816","7019.99998092651","7130.00011444092","7210.00003814697","7469.99979019165","7829.99992370605","8670.00007629395","9399.99961853027","9960.00003814697","10779.9997329712","9560.0004196167","8350.00038146973","10199.9998092651","10510.0002288818","10500","10729.9995422363","11180.0003051758","11609.9996566772","12899.9996185303","13390.0003433228","15199.9998092651","15500","15630.0001144409","15819.9996948242","16299.9992370605","15960.000038147","15829.9999237061","15609.9996566772","15909.9998474121","16370.0008392334","","",
"Africa Western and Central","AFW","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225169.999979436","244579.997181893","253969.999358058","259030.004173517","264790.000498295","263709.999635816","269409.994840622","266670.002713799","262830.000311136","255049.997419119","261660.003870726","261809.999197722","257370.002597571","273290.00094533","279449.9963969","289689.998432994","288469.999268651","286409.999802708","287830.002874136","284060.002893209","300400.002397597","308019.998341799","310789.99593854","315619.999557733","323400.005161762","330440.002083778","343199.999518692","349769.998013973","359360.009014606","366629.99817729","","",
"Angola","AGO","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21219.9993133545","21489.9997711182","21950.0007629395","22579.9999237061","23479.9995422363","25229.9995422363","25389.9993896484","25690.0005340576","27889.9993896484","27090.0001525879","27079.9999237061","27090.0001525879","28610.0006103516","30729.9995422363","31620.0008392334","33099.9984741211","32590.0001525879","35330.0018310547","36400.0015258789","35529.9987792969","36900.0015258789","36639.9993896484","35770.0004577637","35759.9983215332","34900.0015258789","37110.0006103516","37430.0003051758","37619.9989318848","34000","35090.0001525879","","",
"Albania","ALB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3539.99996185303","3500","3410.00008583069","3490.00000953674","4079.99992370605","4079.99992370605","3910.00008583069","3700.00004768372","3559.99994277954","3609.99989509583","3670.00007629395","3609.99989509583","3559.99994277954","3569.9999332428","3500","3490.00000953674","3440.00005722046","3299.99995231628","3130.00011444092","3019.99998092651","3029.99997138977","3019.99998092651","3059.99994277954","3059.99994277954","3089.99991416931","3109.99989509583","3089.99991416931","3049.99995231628","3009.99999046326","2849.99990463257","","",
"Andorra","AND","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9999995529652","19.9999995529652","19.9999995529652","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","29.9999993294477","39.9999991059303","39.9999991059303","39.9999991059303","39.9999991059303","39.9999991059303","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","50.0000007450581","","",
"Arab World","ARB","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","407349.99999404","394510.002702475","409310.00289321","435069.997310638","457850.000858307","473229.999691248","484769.993409514","506850.001201034","530690.002903342","541429.992184043","565070.006817579","555349.998518824","552449.997708201","569779.994770884","589839.998528361","610509.994074702","621190.000832081","625570.010229945","640569.987118244","628789.998829365","647359.996154904","629389.997571706","684220.005601645","669139.992818236","660750.002011657","671169.996365905","696080.000519752","715760.000348091","733430.007338524","747469.994515181","","",
"United Arab Emirates","ARE","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16459.9990844727","17870.0008392334","17809.9994659424","18280.0006866455","19670.0000762939","20370.0008392334","21290.0009155273","21520.0004577637","21469.9993133545","20969.9993133545","22000","23520.0004577637","23719.9993133545","26969.9993133545","28540.0009155273","30889.9993896484","32700.0007629395","33439.998626709","34840.0001525879","34069.9996948242","35720.0012207031","38360.0006103516","40310.001373291","42439.998626709","42869.9989318848","45709.9990844727","47360.0006103516","46900.0015258789","47459.9990844727","49799.9992370605","","",
"Argentina","ARG","Methane emissions (kt of CO2 equivalent)","EN.ATM.METH.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109580.001831055","108709.999084473","110650.001525879","109540.000915527","110489.99786377","111970.001220703","110720.001220703","111150.001525879","110139.999389648","114050.003051758","115919.998168945","116089.996337891","119339.996337891","126970.001220703","128809.997558594","128270.004272461","130539.993286133","130809.997558594","130190.002441406","124010.00213623","115949.996948242","115250","118709.999084473","120360.000610352","121540.000915527","122010.00213623","123599.998474121","127550.003051758","127540.000915527","128800.003051758","","",
