,China,India,United States,Indonesia,Pakistan,Brazil
1960,667070000.0,445954579.0,180671000.0,88382881.0,45954226.0,73092515.0
1961,660330000.0,456351876.0,183691000.0,90816938.0,47060915.0,75330008.0
1962,665770000.0,467024193.0,186538000.0,93345489.0,48161841.0,77599218.0
1963,682335000.0,477933619.0,189242000.0,95962527.0,49325050.0,79915555.0
1964,698355000.0,489059309.0,191889000.0,98675061.0,50552592.0,82262794.0
1965,715185000.0,500114346.0,194303000.0,101157868.0,51841626.0,84623747.0
1966,735400000.0,510992617.0,196560000.0,103561105.0,53199414.0,86979283.0
1967,754550000.0,521987069.0,198712000.0,106260749.0,54629793.0,89323288.0
1968,774510000.0,533431909.0,200706000.0,109138723.0,56124743.0,91659246.0
1969,796025000.0,545314670.0,202677000.0,112149246.0,57676805.0,94000381.0
1970,818315000.0,557501301.0,205052000.0,115228394.0,59290872.0,96369875.0
1971,841105000.0,569999178.0,207661000.0,118347135.0,60878781.0,98766288.0
1972,862030000.0,582837973.0,209896000.0,121504145.0,62509565.0,101194394.0
1973,881940000.0,596107483.0,211909000.0,124709058.0,64285624.0,103666904.0
1974,900350000.0,609721951.0,213854000.0,127945196.0,66149169.0,106167372.0
1975,916395000.0,623524219.0,215973000.0,131213215.0,68126999.0,108700515.0
1976,930685000.0,637451448.0,218035000.0,134521025.0,70230923.0,111286504.0
1977,943455000.0,651685628.0,220239000.0,137861540.0,72451105.0,113939886.0
1978,956165000.0,666267760.0,222585000.0,141250964.0,74789330.0,116664382.0
1979,969005000.0,681248383.0,225055000.0,144693087.0,77407341.0,119447303.0
1980,981235000.0,696828385.0,227225000.0,148177096.0,80624057.0,122288383.0
1981,993885000.0,712869298.0,229466000.0,151686337.0,84270202.0,125168060.0
1982,1008630000.0,729169466.0,231664000.0,155228658.0,87828198.0,128065095.0
1983,1023310000.0,745826546.0,233792000.0,158790611.0,91080372.0,130977370.0
1984,1036825000.0,762895156.0,235825000.0,162331962.0,94003867.0,133888775.0
1985,1051040000.0,780242084.0,237924000.0,165791694.0,97121552.0,136783180.0
1986,1066790000.0,797878993.0,240133000.0,169135273.0,100618523.0,139643355.0
1987,1084035000.0,815716125.0,242289000.0,172421390.0,104251093.0,142466264.0
1988,1101630000.0,833729681.0,244499000.0,175694647.0,107967838.0,145253973.0
1989,1118650000.0,852012673.0,246819000.0,178949174.0,111670386.0,148003411.0
1990,1135185000.0,870452165.0,249623000.0,182159874.0,115414069.0,150706446.0
1991,1150780000.0,888941756.0,252981000.0,185361228.0,119203569.0,153336445.0
1992,1164970000.0,907574049.0,256514000.0,188558416.0,122375179.0,155900790.0
1993,1178440000.0,926351297.0,259919000.0,191737287.0,125546615.0,158440875.0
1994,1191835000.0,945261958.0,263126000.0,194928533.0,129245139.0,160980472.0
1995,1204855000.0,964279129.0,266278000.0,198140162.0,133117476.0,163515328.0
1996,1217550000.0,983281218.0,269394000.0,201373791.0,137234810.0,166037122.0
1997,1230075000.0,1002335230.0,272657000.0,204628007.0,141330267.0,168546707.0
1998,1241935000.0,1021434576.0,275854000.0,207855486.0,145476106.0,171039804.0
1999,1252735000.0,1040500054.0,279040000.0,210996910.0,149694462.0,173486281.0
2000,1262645000.0,1059633675.0,282162411.0,214072421.0,154369924.0,175873720.0
2001,1271850000.0,1078970907.0,284968955.0,217112437.0,159217727.0,178211881.0
2002,1280400000.0,1098313039.0,287625193.0,220115092.0,163262807.0,180476685.0
2003,1288400000.0,1117415123.0,290107933.0,223080121.0,166876680.0,182629278.0
2004,1296075000.0,1136264583.0,292805298.0,225938595.0,170648620.0,184722043.0
2005,1303720000.0,1154638713.0,295516599.0,228805144.0,174372098.0,186797334.0
2006,1311020000.0,1172373788.0,298379912.0,231797427.0,178069984.0,188820682.0
2007,1317885000.0,1189691809.0,301231207.0,234858289.0,181924521.0,190779453.0
2008,1324655000.0,1206734806.0,304093966.0,237936543.0,185931955.0,192672317.0
2009,1331260000.0,1223640160.0,306771529.0,240981299.0,190123222.0,194517549.0
2010,1337705000.0,1240613620.0,309327143.0,244016173.0,194454498.0,196353492.0
2011,1345035000.0,1257621191.0,311583481.0,247099697.0,198602738.0,198185302.0
2012,1354190000.0,1274487215.0,313877662.0,250222695.0,202205861.0,199977707.0
2013,1363240000.0,1291132063.0,316059947.0,253275918.0,205337562.0,201721767.0
2014,1371860000.0,1307246509.0,318386329.0,256229761.0,208251628.0,203459650.0
2015,1379860000.0,1322866505.0,320738994.0,259091970.0,210969298.0,205188205.0
2016,1387790000.0,1338636340.0,323071755.0,261850182.0,213524840.0,206859578.0
2017,1396215000.0,1354195680.0,325122128.0,264498852.0,216379655.0,208504960.0
2018,1402760000.0,1369003306.0,326838199.0,267066843.0,219731479.0,210166592.0
2019,1407745000.0,1383112050.0,328329953.0,269582878.0,223293280.0,211782878.0
2020,1411100000.0,1396387127.0,331501080.0,271857970.0,227196741.0,213196304.0
2021,1412360000.0,1407563842.0,331893745.0,273753191.0,231402117.0,214326223.0
